검색어,순번,한자,품사,설명,링크
역사,1,(力士),「명사」,뛰어나게힘이센사람.,https://stdict.korean.go.kr/search/searchView.do?word_no=458481&searchKeywordTo=3
역사,2,(役事),「명사」,『건설』토목이나건축따위의공사.,https://stdict.korean.go.kr/search/searchView.do?word_no=230121&searchKeywordTo=3
역사,3,(歷史),「명사」,"인류사회의변천과흥망의과정.또는그기록.≒사,춘추.",https://stdict.korean.go.kr/search/searchView.do?word_no=458484&searchKeywordTo=3
역사,4,(歷事/歷仕),「명사」,여러대의임금을내리섬김.,https://stdict.korean.go.kr/search/searchView.do?word_no=230139&searchKeywordTo=3
역사,5,(歷辭),「명사」,"『역사』조선시대에,새로임명된벼슬아치가감독관아를돌아다니며인사하던일.그벼슬에임명된지10일이내에,의정부ㆍ전조(銓曹)등에인사를다녔다.=참알.",https://stdict.korean.go.kr/search/searchView.do?word_no=230141&searchKeywordTo=3
역사,6,(繹史),「명사」,"『책명』중국청나라때마숙(馬驌)이지은역사책.태고로부터진(秦)나라말기까지의고서를섭렵하여뽑아낸사료를유형별로모아논단(論斷)을붙인것으로,청나라때의경사(經史)고정학(考訂學)에많은영향을끼쳤다.160권.",https://stdict.korean.go.kr/search/searchView.do?word_no=230143&searchKeywordTo=3
역사,7,(譯史),「명사」,"『역사』고려시대에,중서문하성에속한구실아치.",https://stdict.korean.go.kr/search/searchView.do?word_no=458483&searchKeywordTo=3
역사,8,(譯使),「명사」,통역을맡은사신.,https://stdict.korean.go.kr/search/searchView.do?word_no=230707&searchKeywordTo=3
역사,9,(譯詞),「명사」,외국노래의가사를번역하는일.또는그가사.,https://stdict.korean.go.kr/search/searchView.do?word_no=230708&searchKeywordTo=3
역사,10,(轢死),「명사」,차에치여죽음.,https://stdict.korean.go.kr/search/searchView.do?word_no=230709&searchKeywordTo=3
