created,tweet_text,ko_text,nouns
Thu Feb 10 06:40:57 +0000 2022,RT @Frappu____: 근데 진짜 대박이지않음? 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌e스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내…,  근데 진짜 대박이지않음 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내,"['대박', '사이퍼즈', '제주도', '회사', '제주도', '출신', '남자', '아이돌', '플레이', '시작', '그게', '올해', '추석', '아이돌', '스포츠', '대회', '사이퍼즈', '종목', '채택', '그냥']"
Thu Feb 10 06:40:57 +0000 2022,"RT @ID_PpNv: 기사에도 나와있지만... 진작, 이미 온라인 게임에서 경험할 수 있었던 거고... 
당장 저도 마비노기에서 치마 입고 윈드밀 돌다가 지나가는 유저가 개소리 싸는 걸 들었던 적이 있습니다...... 인셀남 혐오는 유구하게 남성…",  기사에도 나와있지만 진작 이미 온라인 게임에서 경험할 수 있었던 거고 당장 저도 마비노기에서 치마 입고 윈드밀 돌다가 지나가는 유저가 개소리 싸는 걸 들었던 적이 있습니다 인셀남 혐오는 유구하게 남성,"['기사', '진작', '온라인', '경험', '마비노기', '치마', '윈드밀', '유저', '소리', '인셀남', '혐오', '유구', '남성']"
Thu Feb 10 06:40:57 +0000 2022,RT @Frappu____: 근데 진짜 대박이지않음? 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌e스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내…,  근데 진짜 대박이지않음 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내,"['대박', '사이퍼즈', '제주도', '회사', '제주도', '출신', '남자', '아이돌', '플레이', '시작', '그게', '올해', '추석', '아이돌', '스포츠', '대회', '사이퍼즈', '종목', '채택', '그냥']"
Thu Feb 10 06:40:56 +0000 2022,"RT @BUM_HICO: &lt;WORK&gt;
사이퍼즈 발렌타인 로딩포스터 3종(레베카,시드니,티모시) 작업했습니다! 좋아하는 게임에 참여할 수 있어 너무 기쁩니다. 잘부탁드려요~! https://t.co/UmdRnh4ZIa",  사이퍼즈 발렌타인 로딩포스터 종레베카시드니티모시 작업했습니다 좋아하는 게임에 참여할 수 있어 너무 기쁩니다 잘부탁드려요 ,"['사이퍼즈', '발렌타인', '로딩', '포스터', '레베카', '시드니', '티모시', '작업', '참여']"
Thu Feb 10 06:40:55 +0000 2022,RT @MyeongMountain: 저는사실 국산게임은 여자아이돌얼굴닮은게신경스임,  저는사실 국산게임은 여자아이돌얼굴닮은게신경스임,"['사실', '국산', '여자', '아이돌', '얼굴', '스임']"
Thu Feb 10 06:40:54 +0000 2022,RT @gamebeers: 많고 많은 게임 중에 로오히만 콕 찝어서 그리고 라이레이 하나만 띡 가져와서 그것도 알계로 저러는 게 얼마나 저열하고 비열하고 하찮은 인간상인지를 극명하게 보여주는 듯...,  많고 많은 게임 중에 로오히만 콕 찝어서 그리고 라이레이 하나만 띡 가져와서 그것도 알계로 저러는 게 얼마나 저열하고 비열하고 하찮은 인간상인지를 극명하게 보여주는 듯,"['라이', '레이', '그것', '저열', '인간', '인지']"
Thu Feb 10 06:40:52 +0000 2022,"RT @YAYOFLAKE: 아니 진짜 이게 제일 어이없고 웃겨
3부 게임 다비전에서 폴나레프랑 내기할때 1/256의 확률로 고양이가 배신 때린다는거

나니이이잇! 하는거 듣고 매번 무저항으로 터져서 쓰러짐 https://t.co/uKYkelCci6",  아니 진짜 이게 제일 어이없고 웃겨부 게임 다비전에서 폴나레프랑 내기할때 의 확률로 고양이가 배신 때린다는거나니이이잇 하는거 듣고 매번 무저항으로 터져서 쓰러짐 ,"['제일', '다비', '레프', '내기', '확률', '고양이', '배신', '이이', '무저항']"
Thu Feb 10 06:40:50 +0000 2022,"RT @JW1baninGF_O: #rt #RT 추첨 팝콘슬리브를 드립니다!

팝콘 게임즈 슬리브 공구

1set(50매)-1200

1/30~2/8

자세한 내용은 아래 폼 참고해 주세요!
🔗 https://t.co/TUwtXWD5Jj https:/…",    추첨 팝콘슬리브를 드립니다팝콘 게임즈 슬리브 공구매자세한 내용은 아래 폼 참고해 주세요  ,"['추첨', '팝콘', '슬리브', '팝콘', '슬리브', '구매', '내용', '아래', '참고']"
Thu Feb 10 06:40:49 +0000 2022,"RT @ho_k41: #rt+#follow 이벤트

홋케 구누이 갓매로 1.9에 구했어요

쫌 전에 올렸던 트윗이랑 같이 제가 원할 때 당발할게요
20.0 아래로 적어주세요(멘션 안 하면 재추첨
장르한정 오시인증 또는 인게임 레벨 인증받아요😚

추첨…",   이벤트홋케 구누이 갓매로 에 구했어요쫌 전에 올렸던 트윗이랑 같이 제가 원할 때 당발할게요 아래로 적어주세요멘션 안 하면 재추첨장르한정 오시인증 또는 인게임 레벨 인증받아요추첨,"['이벤트', '홋케', '트윗', '아래', '멘션', '추첨', '장르', '한정', '오시', '인증', '레벨', '인증', '추첨']"
Thu Feb 10 06:40:48 +0000 2022,"나랑..게임한판해보면..잘한단소리안나옴..
근데할기회가없음
당연함
멀티로하는 컨트롤게임안좋아함......................................................... 저희그냥 위치잇?그거나하죠???",나랑게임한판해보면잘한단소리안나옴근데할기회가없음당연함멀티로하는 컨트롤게임안좋아함 저희그냥 위치잇그거나하죠,"['한판', '리안', '기회', '멀티', '컨트롤', '임안', '그냥', '위치', '거나']"
