제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,209,Short,31628158,655462,55869
Apink 에이핑크 'Dilemma' MV, Entertainment,218,Short,16521933,199643,20105
[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,272,Medium,10247678,384479,20243
[GOT the beat - Step Back] Special Stage | #엠카운트다운 EP.737 | Mnet 220127 방송, Entertainment,298,Medium,7482269,409431,12166
ASTRO 아스트로 진진&라키 - 숨 좀 쉬자(Just Breath) M/V, Entertainment,209,Short,7304491,182442,23350
[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,256,Medium,6227366,283255,4622
'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대, Entertainment,296,Medium,5581999,224939,8283
[MV] VIVIZ _ BOP BOP!, Entertainment,225,Short,5470655,321258,22245
[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,221,Short,5415145,116308,2329
[최초공개] Kep1er(케플러) - Shine (Kep1er Ver.) (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,266,Medium,4405260,195144,4944
[ITZY VLOG] YUNA's Graduation VLOG, Entertainment,763,Medium,4099394,287955,5861
[4K] ENHYPEN (엔하이픈) -“Polaroid Love” Band LIVE Concert│엔하의 폴라럽 밴드 라이브💖 [it’s KPOP LIVE 잇츠라이브], Entertainment,336,Medium,3844339,378753,5980
"리얼먹방:) 집밥 햄지백반 ★ 고추장찌개,굴비,무생채,시금치무침,분홍소세지ㅣKorean Home MealㅣREAL SOUNDㅣASMR MUKBANGㅣ", Entertainment,915,Medium,3455457,66941,1847
"리얼먹방:) 매운 국물닭발에 깍두기(?) ★ ft.계란말이,참치마요주먹밥ㅣDakbal (Spicy chicken feet)ㅣREAL SOUNDㅣASMR MUKBANGㅣ", Entertainment,932,Medium,3291832,62909,1565
Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,199,Short,3188368,97973,1732
♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,540,Medium,2960971,34521,3737
ASTRO 아스트로 문빈&산하 - Ghost Town M/V, Entertainment,190,Short,2927462,115660,10895
Yasak Elma 133. Bölüm 2. Fragmanı, Entertainment,46,Short,2873335,51392,2237
aespa(에스파) - Dreams Come True @인기가요 inkigayo 20220109, Entertainment,226,Short,2817545,128873,3290
"""꿈은 모르겠고요 아이스크림이 먹고 싶어요"" 천만 분의 일 확률 무통각증 환자 윤찬영.zip #모았캐치 #의사요한 #SBSCatch", Entertainment,1546,Long,2907296,15686,1193
리얼먹방:) 얼큰 고추장칼국수 & 표고버섯탕수육 만들기ㅣKalguksu & TangsuyukㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,942,Medium,2632464,55556,1127
고급지식퀴즈, Entertainment,1483,Long,2466045,19464,1614
[단독샷캠] 케플러 'WA DA DA' 단독샷 별도녹화│Kep1er ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,201,Short,2441335,83545,1241
리얼먹방:) 로제떡볶이 집에서도 만들수 있어요!! ★ ft.단무지무침ㅣRose TteokbokkiㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,728,Medium,2361317,59917,1153
[찜꽁습꽁] 10년 전 💖차준환💖 선수의 귀염뽀짝 피겨 꿈나무 시절 모음!ㅣ김연아의 Kiss & CryㅣSBS ENTER., Entertainment,951,Medium,2195444,22607,1460
너 하지마｜JTBC봐야지 #shorts, Entertainment,41,Short,2167873,62951,255
넌뭔데｜JTBC봐야지 #shorts, Entertainment,23,Short,2143976,32758,377
※팩폭주의※ 실패를 인정하지 않는 서경석에게 날린 오은영 박사의 일침 [오은영의 금쪽 상담소 13 회], Entertainment,713,Medium,2055467,19129,1185
[놀면 뭐하니?] 막내 재석은 오랜만이지? 오디오가 비질 않는 조동아리 형님들과의 만남 MBC 220219 방송 (Hangout with Yoo), Entertainment,895,Medium,2038646,25474,1733
리얼먹방:) 새우 듬뿍~ 리얼 새우버거!! ★ 꼭 만들어보세요👍ㅣReal Shrimp BurgerㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,723,Medium,2200071,56767,1743
거짓말 못하는 차준환 #shorts #chajunhwan, Entertainment,58,Short,2038417,79312,37
다시보면 보이는 소름돋는 시크릿 가든 엔딩! 손예진이 여기서 왜 나와...?😮 #시크릿가든 #모았캐치 #SBSCatch, Entertainment,1166,Medium,1977423,9267,799
윤은혜, Entertainment,2366,Long,1943028,20150,2104
[MV] Apink(에이핑크) _ Dilemma, Entertainment,218,Short,1907326,115261,5507
쉬지않는토크, Entertainment,1943,Long,1863864,15346,579
[닥터 스트레인지: 대혼돈의 멀티버스] 티저 예고편, Entertainment,147,Short,1824066,25789,4311
இவங்க யாருனு தெரியுதா? | Kalyana Veedu #Shorts, Entertainment,16,Short,1815573,36209,260
[BE ORIGINAL] TAEYEON(태연) 'INVU' (4K), Entertainment,215,Short,1806803,153278,3353
[MV] Suzy(수지) _ Satellite, Entertainment,224,Short,1808869,103956,7355
Sneaker Fest 22 | New Styles for Cool Comfort., Entertainment,11,Short,1719501,0,1
[하이라이트] 시즌2 라인업 실화? ‘어쩌다 알바생’을 소개합니다! #어쩌다사장2 EP.1, Entertainment,347,Medium,1713592,18929,2067
[명강연 컬렉션] 존 리 대표가 말하는 한국에 퍼진 가난 전염병 '금융 문맹' [Full영상], Entertainment,2019,Long,1651618,22764,2319
[2021 가요대전 4K] aespa(에스파) - Next Level+Savage @가요대전 Gayo Daejeon 20211225, Entertainment,447,Medium,1629624,74565,2003
[Kep1er - WA DA DA] Hot Debut Stage | #엠카운트다운 EP.735 | Mnet 220113 방송, Entertainment,311,Medium,1617034,91800,1946
진짜로 관심이 없었던 민경훈｜JTBC봐야지 #shorts, Entertainment,33,Short,1631784,23425,99
[sub] 🧳ep.4-2｜뺨 한 번만 때려줘... 파국의 미션 수행｜🧳출장 십오야2, Entertainment,1465,Long,1612389,26144,1110
