제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
[CES 2022] The Better Life You Deserve : Main | LG, Science & Technology,1750,Long,36527697,777,75
MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,209,Short,31628158,655461,55869
"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video", Music,189,Short,29764948,1295220,24355
"NMIXX ""O.O"" M/V", Music,214,Short,31806844,723922,139106
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV, Music,189,Short,26368396,1843713,149204
Encanto OST (acapella), Music,96,Short,23932763,595640,13087
fromis_9 (프로미스나인) 'DM' Official MV, Music,207,Short,23383005,329493,20310
Exynos 2200: Playtime is over | Samsung, Science & Technology,60,Short,21792773,15311,1559
YENA (최예나) - SMILEY (Feat. BIBI) MV, Music,254,Medium,18758637,426507,19841
Apink 에이핑크 'Dilemma' MV, Entertainment,218,Short,16521756,199640,20102
Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,207,Short,16265538,52504,2836
Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,36,Short,16266121,28485,1433
Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,39,Short,15391796,16368,1131
MAX CHANGMIN 최강창민 'Devil' MV, Music,241,Medium,13234046,101568,5970
비투비 (BTOB) - '노래 (The Song)' Official Music Video, Music,256,Medium,16288061,156629,27460
TAEYEON 태연 'INVU' MV, Music,218,Short,12277336,748610,36474
DRIPPIN(드리핀) ‘Villain’ MV, Entertainment,205,Short,11470376,51809,6046
TAEYEON 태연 'Can't Control Myself' MV, Music,206,Short,10594220,537145,20389
[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,272,Medium,10247506,384476,20243
Galaxy Unpacked February 2022: Official Replay l Samsung, Science & Technology,3885,Long,9360186,0,0
[STATION : NCT LAB] MARK 마크 'Child' MV, Music,218,Short,9339305,1073107,74088
SENDE BİRGÜN ANNE. OLACAKSIN !!, Film & Animation,29,Short,7547734,123847,394
[GOT the beat - Step Back] Special Stage | #엠카운트다운 EP.737 | Mnet 220127 방송, Entertainment,298,Medium,7482269,409429,12166
ASTRO 아스트로 진진&라키 - 숨 좀 쉬자(Just Breath) M/V, Entertainment,209,Short,7304491,182441,23350
The Freestyle: Official Launch Film | Samsung, Science & Technology,73,Short,7169747,9442,392
미니팡 교육동요 | 알록달록 동요 모아보기 | 과일 | 음식자판기 | 공룡달걀 | 주유 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,636,Medium,6378669,28415,0
"파스타 장인! 25년 경력 셰프의 토마토, 크림, 오일 파스타 만들기 / pasta making skill! tomato, cream, oil pasta making", Travel & Events,837,Medium,6517914,70275,1409
[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,256,Medium,6227366,283255,4622
[NMIXX] Debut Trailer, Music,101,Short,6055473,487414,42089
WOOZI 'Ruby' Official MV, Music,165,Short,5720405,533736,29030
'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대, Entertainment,296,Medium,5581999,224939,8283
[MV] VIVIZ _ BOP BOP!, Entertainment,225,Short,5470655,321256,22245
[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,221,Short,5415145,116308,2329
"태연(TAEYEON)의 킬링보이스를 라이브로! - I,그대라는 시,만약에,11:11,Blue,Time Lapse,Weekend,불티,사계,Gravity,INVU,너를 그리는 시간", Music,1387,Long,6177313,383079,28736
Jamie Miller - Wishes (설강화 OST) [Music Video], Music,243,Medium,4754694,0,6897
BLACKPINK 2022 WELCOMING COLLECTION PREVIEW, Music,31,Short,4607539,738525,34161
[최초공개] Kep1er(케플러) - Shine (Kep1er Ver.) (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,266,Medium,4405260,195144,4944
Galaxy Tab S8 Ultra: Official Launch Film | Samsung, Science & Technology,31,Short,4234137,2694,136
[ITZY VLOG] YUNA's Graduation VLOG, Entertainment,763,Medium,4099394,287954,5861
"Stray Kids ""ODDINARY"" Trailer", Music,87,Short,3995822,785775,49373
"[광고] 현대자동차 자율주행 ""모두의 자율주행이 될 때까지"" - 본편", Cars & Vehicles,31,Short,3714580,205,54
Galaxy Tab S8 Ultra: Official Introduction | Samsung, Science & Technology,95,Short,3437990,21165,1113
미니팡 교육동요 | 알록달록 미끄럼틀 | 토끼 | 오리 | 염소 | 돼지 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,132,Short,3387482,11226,0
Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,199,Short,3188368,97973,1732
ซื้อวันนี้ไฮลักซ์ รีโว่ ทุกรุ่น วันนี้ รับข้อเสนอพิเศษ, Cars & Vehicles,15,Short,3214673,62,0
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING SPOT, Music,31,Short,3084554,737182,20766
"NMIXX ""O.O"" M/V Teaser", Music,47,Short,2955260,276699,15836
♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,540,Medium,2960971,34521,3737
ASTRO 아스트로 문빈&산하 - Ghost Town M/V, Entertainment,190,Short,2927462,115660,10895
Harry Kane MASTERCLASS! 🔥 Spurs beat Man City at the death! | HIGHLIGHTS | Man City 2-3 Spurs, Sport,135,Short,2858615,53904,3600
