번호,종목명,평가액(억원),자산군 내 비중(%),지분율(%)
1,APPLE INC,50237.39,2.61,0.20
2,MICROSOFT CORP,43004.50,2.23,0.24
3,AMAZON.COM INC,38917.92,2.02,0.22
4,FACEBOOK INC CLASS A,24096.60,1.25,0.34
5,TESLA INC,22223.83,1.15,0.31
6,ALPHABET INC CL C,21603.63,1.12,0.34
7,ALPHABET INC CL A,18555.28,0.96,0.32
8,TENCENT HOLDINGS LTD,18449.22,0.96,0.24
9,TAIWAN SEMICONDUCTOR SP ADR,15604.99,0.81,0.25
10,ALIBABA GROUP HOLDING SP ADR,15587.03,0.81,0.23
11,MASTERCARD INC   A,15092.56,0.78,0.39
12,UNITEDHEALTH GROUP INC,13504.29,0.70,0.37
13,NESTLE SA REG,12588.54,0.65,0.34
14,JOHNSON + JOHNSON,11940.63,0.62,0.26
15,ROCHE HOLDING AG GENUSSCHEIN,11425.40,0.59,0.43
16,SPDR S+P 500 ETF TRUST,11371.73,0.59,0.32
17,JPMORGAN CHASE + CO,10911.06,0.57,0.26
18,TAIWAN SEMICONDUCTOR MANUFAC,10445.54,0.54,0.19
19,NVIDIA CORP,10326.67,0.54,0.29
20,NETFLIX INC,9395.97,0.49,0.36
21,ADOBE INC,9209.25,0.48,0.35
22,PAYPAL HOLDINGS INC,9049.44,0.47,0.30
23,VANGUARD S+P 500 ETF,8983.33,0.47,0.47
24,ISHARES CORE S+P 500 ETF,8699.71,0.45,0.34
25,VISA INC CLASS A SHARES,8686.49,0.45,0.22
26,ILLUMINA INC,8632.77,0.45,1.47
27,MEITUAN CLASS B,8625.36,0.45,0.40
28,ASML HOLDING NV,8373.53,0.43,0.38
29,HOME DEPOT INC,8333.79,0.43,0.27
30,PROCTER + GAMBLE CO/THE,8333.67,0.43,0.22
31,COMCAST CORP CLASS A,8282.69,0.43,0.32
32,PINDUODUO INC ADR,8087.35,0.42,0.48
33,ORACLE CORP,7812.64,0.41,0.38
34,KEYENCE CORP,7794.90,0.40,0.52
35,MEDTRONIC PLC,7597.44,0.39,0.44
36,WALT DISNEY CO/THE,7383.73,0.38,0.21
37,SALESFORCE.COM INC,7211.86,0.37,0.33
38,MICRON TECHNOLOGY INC,7198.99,0.37,0.79
39,AIA GROUP LTD,7072.48,0.37,0.43
40,TEXAS INSTRUMENTS INC,6984.36,0.36,0.43
41,NIKE INC  CL B,6672.01,0.35,0.35
42,VERIZON COMMUNICATIONS INC,6415.29,0.33,0.27
43,INTUITIVE SURGICAL INC,6243.45,0.32,0.60
44,WELLS FARGO + CO,6220.63,0.32,0.46
45,BANK OF AMERICA CORP,6151.42,0.32,0.22
46,CISCO SYSTEMS INC,6122.27,0.32,0.30
47,NOVO NORDISK A/S B,6113.83,0.32,0.44
48,NOVARTIS AG REG,6017.66,0.31,0.24
49,PFIZER INC,6005.94,0.31,0.27
50,CITIGROUP INC,5939.47,0.31,0.43
51,DAIMLER AG REGISTERED SHARES,5911.14,0.31,0.72
52,BERKSHIRE HATHAWAY INC CL B,5731.48,0.30,0.17
53,ADYEN NV,5602.76,0.29,0.73
54,PEPSICO INC,5527.52,0.29,0.25
55,KERING,5466.25,0.28,0.55
56,BOOKING HOLDINGS INC,5341.93,0.28,0.54
57,THERMO FISHER SCIENTIFIC INC,5269.45,0.27,0.26
58,ACCENTURE PLC CL A,5140.90,0.27,0.27
59,INTEL CORP,5124.32,0.27,0.23
60,LVMH MOET HENNESSY LOUIS VUI,4981.22,0.26,0.14
61,WORKDAY INC CLASS A,4872.99,0.25,1.04
62,ANTHEM INC,4864.44,0.25,0.56
