Percent,Quanity,Reference,Annual_Income
1,191672,518366,270446
2,191673,268974,14033
3,191673,229513,11974
4,191672,207166,10808
5,191673,191091,9970
6,191673,179197,9349
7,191673,170135,8876
8,191672,162736,8490
9,191673,156169,8148
10,191673,150077,7830
11,191673,144447,7536
12,191672,139314,7268
13,191673,134575,7021
14,191673,130028,6784
15,191672,125660,6556
16,191673,121522,6340
17,191673,117564,6134
18,191673,114012,5948
19,191672,110567,5769
20,191673,107273,5597
21,191673,104192,5436
22,191673,101304,5285
23,191672,98551,5142
24,191673,95948,5006
25,191673,93454,4876
26,191672,91155,4756
27,191673,88894,4638
28,191673,86694,4523
29,191673,84596,4414
30,191672,82533,4306
31,191673,80590,4205
32,191673,78749,4109
33,191673,76948,4015
34,191672,75204,3924
35,191673,73535,3836
36,191673,71907,3752
37,191673,70324,3669
38,191672,68935,3597
39,191673,67531,3523
40,191673,66160,3452
41,191672,64748,3378
42,191673,63413,3308
43,191673,62133,3242
44,191673,60897,3177
45,191672,59659,3113
46,191673,58448,3049
47,191673,57400,2995
48,191673,56312,2938
49,191672,55215,2881
50,191673,54131,2824
51,191673,53041,2767
52,191672,51985,2712
53,191673,50932,2657
54,191673,49978,2607
55,191673,48953,2554
56,191672,48053,2507
57,191673,47164,2461
58,191673,46274,2414
59,191673,45731,2386
60,191672,44862,2341
61,191673,44011,2296
62,191673,43372,2263
63,191672,42588,2222
64,191673,41810,2181
65,191673,41271,2153
66,191673,40525,2114
67,191672,40203,2097
68,191673,39788,2076
69,191673,38785,2023
70,191673,37644,1964
71,191672,36601,1910
72,191673,35425,1848
73,191673,34318,1790
74,191673,33153,1730
75,191672,31895,1664
76,191673,30613,1597
77,191673,29436,1536
78,191672,28063,1464
79,191673,26927,1405
80,191673,25555,1333
81,191673,24230,1264
82,191672,23044,1202
83,191673,21848,1140
84,191673,20489,1069
85,191673,19126,998
86,191672,17757,926
87,191673,16372,854
88,191673,14972,781
89,191672,13635,711
90,191673,12237,638
91,191673,10956,572
92,191673,9693,506
93,191672,8351,436
94,191673,7127,372
95,191673,6027,314
96,191673,4773,249
97,191672,3641,190
98,191673,2578,134
99,191673,1356,71
100,191673,199,10
