일시,지점,일최저체감온도,일최고기온,일평균기온,일최저기온,일평균상대습도,일평균풍속,일최대풍속,한파특보
2021-12-01,서울(108),-9.5,1.5,-1.3,-3,51.8,4.2,7.2,X
2021-12-01,인천(112),-8.8,1.1,-0.7,-1.8,43.5,6.8,12.3,X
2021-12-01,대전(133),-4.6,3.8,0.9,-2.6,59.9,2.8,5.3,X
2021-12-01,대구(143),-5.8,4.8,2.4,-0.5,39.6,6.3,9.8,X
2021-12-01,광주(156),-3.6,5,2.4,0.1,81.1,1.7,3.4,X
2021-12-01,부산(159),-5.3,7.3,3.9,0.2,40.6,4.7,11.2,X
2021-12-02,서울(108),-9.2,5,1.3,-4.6,68.9,2.1,4.6,X
2021-12-02,인천(112),-7.5,7.9,3.4,-3.2,47.4,3.8,8.2,X
2021-12-02,대전(133),-6,8.4,2.6,-4.2,69.5,1.2,3.2,X
2021-12-02,대구(143),-6.1,7.6,2.6,-1.1,53.6,2.3,4.7,X
2021-12-02,광주(156),-2.5,8.9,4.2,0.3,67.9,1.2,2.7,X
2021-12-02,부산(159),-6.2,9.1,3.8,-1,47.6,3,7.1,X
2021-12-03,서울(108),-5.5,4.6,1.9,-1.8,53.3,2.9,5.8,X
2021-12-03,인천(112),-5.2,8.1,2.6,0.1,43.6,5.1,8.2,X
2021-12-03,대전(133),-3.5,8.7,4.5,0.1,68.4,2.3,5.6,X
2021-12-03,대구(143),-2.1,10.3,4.8,1.2,54.4,2.9,7.2,X
2021-12-03,광주(156),1.9,8,5.9,4.2,76.5,1.3,2.9,X
2021-12-03,부산(159),-1.7,12.6,7.4,3.3,52.6,3.8,7.2,X
2021-12-04,서울(108),-5.9,7,1.4,-2.7,48.5,2,4.8,X
2021-12-04,인천(112),-4.5,7.4,2.3,-1.1,39.1,2.9,5.9,X
2021-12-04,대전(133),-4.5,3.6,0.6,-2.5,74.8,0.8,2.1,X
2021-12-04,대구(143),-3.7,8.7,4.2,0.9,52,3.1,5.3,X
2021-12-04,광주(156),-1.4,8.7,4.7,1.4,67.4,1.1,2.9,X
2021-12-04,부산(159),-3.2,10.7,5.6,1.6,43.4,2.6,6.8,X
2021-12-05,서울(108),-5.9,9.6,2.9,-2.3,50.4,1.4,2.9,X
2021-12-05,인천(112),-4.9,8.2,3.4,-1.4,41.4,1.7,3.3,X
2021-12-05,대전(133),-5.6,10.5,2.1,-3.3,78.9,0.8,1.8,X
2021-12-05,대구(143),-3.4,11.6,3.7,-2.2,72.8,0.8,2.1,X
2021-12-05,광주(156),-0.8,11.9,5.4,-0.1,72.1,0.6,1.5,X
2021-12-05,부산(159),0.4,14.4,8.3,2.6,57.9,0.7,4.5,X
2021-12-06,서울(108),-4.1,12.1,5.4,-0.7,61.4,1.6,2.8,X
2021-12-06,인천(112),-1.1,10.9,6.3,1.7,49.3,1.7,3.5,X
2021-12-06,대전(133),-3,12.3,4.4,-1,78.9,0.7,1.6,X
2021-12-06,대구(143),-3.1,12.5,5.1,-0.5,78.4,0.7,2.1,X
2021-12-06,광주(156),3.3,15.1,8.3,3.3,77.8,0.6,1.8,X
2021-12-06,부산(159),6,16.9,10.8,6.6,73,0.9,3.3,X
2021-12-07,서울(108),0.8,13.3,6.8,2.6,68.3,1.2,2.6,X
2021-12-07,인천(112),0.2,10.8,7,3.5,55.9,2.9,4.3,X
2021-12-07,대전(133),-1.7,12.7,5.4,-0.2,77.6,0.9,2.4,X
2021-12-07,대구(143),-1.1,14.7,7.5,1.1,67.4,1.2,4.3,X
2021-12-07,광주(156),2.9,14,8,3.3,75.1,0.8,2.9,X
2021-12-07,부산(159),6.4,17.3,11.4,7.7,61.8,2.6,5.2,X
2021-12-08,서울(108),-0.9,13.3,6.7,1.9,70,1.5,2.6,X
2021-12-08,인천(112),0.7,10.8,6.5,2.9,64,2,3.7,X
2021-12-08,대전(133),-1.2,13.3,5.6,0.1,80.5,0.7,2.2,X
2021-12-08,대구(143),-1.2,13.4,6.6,0.9,72.8,0.9,3.3,X
2021-12-08,광주(156),2,15.2,8.1,2.3,71.8,0.6,1.9,X
2021-12-08,부산(159),4.8,15,10.2,7.4,58.4,2.9,5.2,X
2021-12-09,서울(108),-0.4,9.7,6.5,2.7,70.3,2.2,3.5,X
2021-12-09,인천(112),2.5,10.5,7.7,4.8,56.8,1.8,3.4,X
2021-12-09,대전(133),-1.3,11.5,5.6,0.1,81.3,0.7,1.7,X
2021-12-09,대구(143),-2.4,12.6,6.5,0.4,79,0.9,2.7,X
2021-12-09,광주(156),2.1,13.5,8.3,3,77.4,0.9,2.9,X
2021-12-09,부산(159),6.4,16.9,11.9,8.7,63.3,2.7,3.7,X
2021-12-10,서울(108),3.6,8.2,7,5.8,81.5,2.1,3.4,X
2021-12-10,인천(112),4.4,9.5,7.9,6.6,73.1,1.8,4.7,X
2021-12-10,대전(133),2.7,10.5,6.6,3.4,95.6,0.5,2,X
2021-12-10,대구(143),1.3,13.4,8,2.8,80.1,1.1,3,X
2021-12-10,광주(156),6.5,15.4,9.9,7.3,86.6,0.7,2.2,X
2021-12-10,부산(159),,17.8,12.6,8.6,69.5,1.9,5.4,X
2021-12-11,서울(108),2.1,9.8,6,4.4,83.6,1.4,3.6,X
2021-12-11,인천(112),1.4,7.8,5.7,4,75.4,2.1,4.4,X
2021-12-11,대전(133),3.9,11.1,7.3,4.3,86.6,0.7,2.8,X
2021-12-11,대구(143),2.5,13.1,8.9,3.4,71.4,1.5,2.9,X
2021-12-11,광주(156),4.4,13.3,8.6,5,81.8,0.7,1.8,X
2021-12-11,부산(159),6.2,16.4,11.8,8.8,57.3,2.7,6.3,X
2021-12-12,서울(108),-9.6,5.1,1.2,-3.8,61.8,3.2,6.6,X
2021-12-12,인천(112),-10.2,5.6,1.3,-3,52.9,5.1,9.2,X
2021-12-12,대전(133),-6.5,8.9,3.9,-2.5,66.4,2.1,5.7,주의보
2021-12-12,대구(143),-5.7,11.2,6.6,-0.2,52.9,4.1,7.9,주의보
2021-12-12,광주(156),-2.3,10.9,6.3,2,69.8,1.7,4.9,X
2021-12-12,부산(159),-3.3,12.5,8.6,2.6,49.3,2.6,6.9,주의보
2021-12-13,서울(108),-11.7,1.9,-2.2,-5.9,43.8,2.3,4.1,X
2021-12-13,인천(112),-10.9,1.2,-1.8,-5.1,37.5,2.9,6.7,X
2021-12-13,대전(133),-8.6,4.5,-1.6,-5.7,52.5,1.2,3.8,주의보
2021-12-13,대구(143),-8.5,5.8,0.5,-3.7,31,3.5,5.4,주의보
2021-12-13,광주(156),-5.9,5.6,1,-1.6,50.9,2,3.7,X
2021-12-13,부산(159),-8,7.7,2.3,-1.5,27.9,3.6,8.5,주의보
2021-12-14,서울(108),-3.8,8.2,3.7,-0.7,64.9,2,3.6,X
2021-12-14,인천(112),-4.3,8.3,4.7,0,61.8,2.8,4.3,X
2021-12-14,대전(133),-6.2,8.9,3.4,-3.9,69.3,1.1,3.8,X
2021-12-14,대구(143),-4.5,8.9,3.7,-2.8,53,2,4.4,X
2021-12-14,광주(156),-3.9,9.8,3.5,-2.5,66,0.9,2.5,X
2021-12-14,부산(159),-5.4,9.6,4.4,-0.5,47.9,2.9,5.7,X
2021-12-15,서울(108),2.8,10,7.2,5.4,84.8,1.7,3.9,X
2021-12-15,인천(112),3.7,10.8,8.4,6.2,71,2.7,7,X
2021-12-15,대전(133),3.7,12.8,8.3,5.1,81.9,1.1,3,X
2021-12-15,대구(143),-1.5,14.9,6.1,-0.8,68.6,1,4.6,X
2021-12-15,광주(156),1.7,14.5,7.5,2.4,82.3,0.7,2.3,X
2021-12-15,부산(159),1.6,14,9.4,5,66.1,3.4,6.9,X
2021-12-16,서울(108),-1,9.8,6.4,3.3,71.6,1.8,4.6,주의보
2021-12-16,인천(112),-3.6,10.3,6.4,2.7,66,2.3,9,X
2021-12-16,대전(133),3,11.2,6.7,4.8,83.8,0.8,2.1,X
2021-12-16,대구(143),0.6,10.3,6.3,2.5,80,0.9,2.7,X
2021-12-16,광주(156),4.7,11.6,7.8,5.4,92,0.5,1.5,X
2021-12-16,부산(159),4.6,10.5,8.8,7.1,80.9,2,4.7,X
2021-12-17,서울(108),-18.2,3.2,-5.6,-10.1,50.5,4.6,8.1,주의보
2021-12-17,인천(112),-19.8,2.7,-5.4,-8.9,51.1,6.9,11.6,X
2021-12-17,대전(133),-13.1,6.1,-2,-8.4,60.9,3.6,7,주의보
2021-12-17,대구(143),-14.1,7.8,0.5,-6,42.9,6.3,10.6,주의보
2021-12-17,광주(156),-10.2,7.6,0.2,-5.1,79,2.1,5.2,X
2021-12-17,부산(159),-11.3,7.6,2.7,-4.2,42.6,4.2,9.1,주의보
2021-12-18,서울(108),-17.3,-1.8,-5.7,-11.2,64.1,2,3.6,주의보
2021-12-18,인천(112),-18.1,3.6,-3.5,-9.5,55.8,3.9,9.6,X
2021-12-18,대전(133),-15.2,3.3,-3.8,-11.3,66.4,1.4,3.3,주의보
2021-12-18,대구(143),-15.1,2.6,-3.4,-8.7,38.6,2.6,6.1,주의보
2021-12-18,광주(156),-13.5,2,-2.3,-7.6,68.5,1.8,4.2,X
2021-12-18,부산(159),-14.5,3.1,-1.4,-6.5,34.5,3.1,6,주의보
2021-12-19,서울(108),-9.1,4.2,-0.8,-5.8,63.8,2,4.9,X
2021-12-19,인천(112),-9.6,5.8,1.5,-3.4,57,3.3,9.3,X
2021-12-19,대전(133),-4.7,6.2,1.5,-2.4,72.5,1.4,4.6,X
2021-12-19,대구(143),-5.7,6,1.2,-3.8,52.8,3,7.9,X
2021-12-19,광주(156),-1.8,7.5,3.3,0.2,74.3,1,3.4,X
2021-12-19,부산(159),-4.2,8.3,4,1.1,49.5,3.1,6.5,X
2021-12-20,서울(108),-4.1,11.1,5.2,-0.9,77.9,2.1,5.1,X
2021-12-20,인천(112),-0.7,10.4,6.9,2.5,76.3,2.6,6.2,X
2021-12-20,대전(133),-2,11.9,6.7,-0.8,72.9,1.3,3.3,X
2021-12-20,대구(143),-4.6,12.7,4.8,-3,58.5,1.5,4.7,X
2021-12-20,광주(156),0.4,12.8,6.1,0.7,74.8,1.1,4.8,X
2021-12-20,부산(159),-1.7,11.9,7.9,1.8,57.5,5.1,10.6,X
2021-12-21,서울(108),-2.8,8.9,5.2,0.8,70.9,2,4.4,X
2021-12-21,인천(112),-4.1,7.5,5.2,1,69.5,3,5.7,X
2021-12-21,대전(133),0.3,14.1,7.9,1.7,72.9,1.4,3.2,X
2021-12-21,대구(143),-0.4,14.2,6.3,-0.6,67.5,1,3.3,X
2021-12-21,광주(156),2.4,14.1,7,2.4,82.9,0.7,2.4,X
2021-12-21,부산(159),5,14.3,10.2,7.4,59.1,3.1,6.9,X
